name,role,resume
Candidate_0,Software Engineer,Software Engineer with 3 years experience in spring boot api docker
Candidate_1,HR Manager,HR Manager with 2 years experience in recruitment talent acquisition communication
Candidate_2,AI Engineer,AI Engineer with 1 years experience in transformers deep learning python
Candidate_3,Backend Developer,Backend Developer with 3 years experience in mongodb api node js
Candidate_4,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in nlp keras tensorflow
Candidate_5,Frontend Developer,Frontend Developer with 3 years experience in css javascript ui ux
Candidate_6,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in tensorflow deep learning nlp
Candidate_7,Data Scientist,Data Scientist with 4 years experience in python pandas numpy
Candidate_8,Data Analyst,Data Analyst with 1 years experience in sql excel power bi
Candidate_9,HR Manager,HR Manager with 2 years experience in hr analytics communication talent acquisition
Candidate_10,Data Scientist,Data Scientist with 1 years experience in pandas statistics machine learning
Candidate_11,DevOps Engineer,DevOps Engineer with 4 years experience in linux kubernetes ci cd
Candidate_12,Business Analyst,Business Analyst with 4 years experience in sql reporting analysis
Candidate_13,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in nlp keras tensorflow
Candidate_14,Data Scientist,Data Scientist with 2 years experience in pandas machine learning numpy
Candidate_15,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in tensorflow keras deep learning
Candidate_16,Software Engineer,Software Engineer with 1 years experience in api java spring boot
Candidate_17,Business Analyst,Business Analyst with 5 years experience in analysis sql dashboard
Candidate_18,HR Manager,HR Manager with 5 years experience in talent acquisition communication hr analytics
Candidate_19,HR Manager,HR Manager with 4 years experience in hr analytics talent acquisition recruitment
Candidate_20,HR Manager,HR Manager with 3 years experience in recruitment hr analytics communication
Candidate_21,HR Manager,HR Manager with 1 years experience in hr analytics communication recruitment
Candidate_22,Frontend Developer,Frontend Developer with 4 years experience in html css ui ux
Candidate_23,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in keras deep learning nlp
Candidate_24,Business Analyst,Business Analyst with 4 years experience in dashboard analysis excel
Candidate_25,Data Scientist,Data Scientist with 1 years experience in python numpy statistics
Candidate_26,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in nlp tensorflow deep learning
Candidate_27,AI Engineer,AI Engineer with 5 years experience in llm python transformers
Candidate_28,DevOps Engineer,DevOps Engineer with 1 years experience in linux ci cd aws
Candidate_29,Data Analyst,Data Analyst with 1 years experience in tableau python sql
Candidate_30,Backend Developer,Backend Developer with 3 years experience in api sql node js
Candidate_31,Software Engineer,Software Engineer with 2 years experience in microservices java api
Candidate_32,Frontend Developer,Frontend Developer with 2 years experience in html react javascript
Candidate_33,HR Manager,HR Manager with 4 years experience in communication talent acquisition hr analytics
Candidate_34,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in deep learning python tensorflow
Candidate_35,Data Analyst,Data Analyst with 4 years experience in power bi python excel
Candidate_36,AI Engineer,AI Engineer with 3 years experience in python deep learning nlp
Candidate_37,Business Analyst,Business Analyst with 1 years experience in sql excel reporting
Candidate_38,Frontend Developer,Frontend Developer with 2 years experience in css ui ux react
Candidate_39,Frontend Developer,Frontend Developer with 3 years experience in css ui ux react
Candidate_40,Business Analyst,Business Analyst with 4 years experience in excel dashboard sql
Candidate_41,Data Analyst,Data Analyst with 5 years experience in power bi tableau excel
Candidate_42,HR Manager,HR Manager with 3 years experience in talent acquisition recruitment hr analytics
Candidate_43,Business Analyst,Business Analyst with 1 years experience in reporting excel analysis
Candidate_44,Business Analyst,Business Analyst with 1 years experience in excel reporting analysis
Candidate_45,Software Engineer,Software Engineer with 5 years experience in java docker api
Candidate_46,DevOps Engineer,DevOps Engineer with 1 years experience in docker aws kubernetes
Candidate_47,Backend Developer,Backend Developer with 3 years experience in express sql api
Candidate_48,Software Engineer,Software Engineer with 4 years experience in api spring boot java
Candidate_49,Data Scientist,Data Scientist with 2 years experience in numpy pandas statistics
Candidate_50,DevOps Engineer,DevOps Engineer with 3 years experience in linux kubernetes aws
Candidate_51,Data Analyst,Data Analyst with 1 years experience in python excel tableau
Candidate_52,AI Engineer,AI Engineer with 2 years experience in llm nlp deep learning
Candidate_53,Data Scientist,Data Scientist with 3 years experience in machine learning statistics pandas
Candidate_54,AI Engineer,AI Engineer with 4 years experience in nlp llm deep learning
Candidate_55,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in deep learning python keras
Candidate_56,Data Scientist,Data Scientist with 1 years experience in python machine learning statistics
Candidate_57,HR Manager,HR Manager with 5 years experience in talent acquisition recruitment hr analytics
Candidate_58,Frontend Developer,Frontend Developer with 4 years experience in css react html
Candidate_59,Data Analyst,Data Analyst with 5 years experience in power bi tableau python
Candidate_60,Data Analyst,Data Analyst with 5 years experience in sql excel tableau
Candidate_61,Software Engineer,Software Engineer with 2 years experience in docker microservices spring boot
Candidate_62,Business Analyst,Business Analyst with 3 years experience in reporting excel analysis
Candidate_63,HR Manager,HR Manager with 5 years experience in hr analytics communication talent acquisition
Candidate_64,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in python deep learning nlp
Candidate_65,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in nlp tensorflow python
Candidate_66,Data Scientist,Data Scientist with 4 years experience in numpy python statistics
Candidate_67,DevOps Engineer,DevOps Engineer with 5 years experience in linux docker kubernetes
Candidate_68,Frontend Developer,Frontend Developer with 2 years experience in ui ux css react
Candidate_69,Data Scientist,Data Scientist with 5 years experience in pandas numpy python
Candidate_70,Data Analyst,Data Analyst with 3 years experience in sql tableau excel
Candidate_71,Data Scientist,Data Scientist with 2 years experience in python statistics pandas
Candidate_72,AI Engineer,AI Engineer with 1 years experience in llm python nlp
Candidate_73,Data Analyst,Data Analyst with 4 years experience in excel python sql
Candidate_74,DevOps Engineer,DevOps Engineer with 2 years experience in docker kubernetes ci cd
Candidate_75,Data Analyst,Data Analyst with 5 years experience in power bi tableau sql
Candidate_76,Frontend Developer,Frontend Developer with 5 years experience in react javascript ui ux
Candidate_77,Data Analyst,Data Analyst with 3 years experience in sql power bi python
Candidate_78,Software Engineer,Software Engineer with 2 years experience in java microservices docker
Candidate_79,Backend Developer,Backend Developer with 5 years experience in sql express mongodb
Candidate_80,Data Scientist,Data Scientist with 5 years experience in python numpy pandas
Candidate_81,DevOps Engineer,DevOps Engineer with 5 years experience in docker ci cd kubernetes
Candidate_82,Business Analyst,Business Analyst with 1 years experience in sql reporting dashboard
Candidate_83,Data Scientist,Data Scientist with 4 years experience in pandas numpy machine learning
Candidate_84,Backend Developer,Backend Developer with 5 years experience in node js api sql
Candidate_85,AI Engineer,AI Engineer with 5 years experience in llm deep learning python
Candidate_86,Frontend Developer,Frontend Developer with 3 years experience in react css ui ux
Candidate_87,Data Analyst,Data Analyst with 2 years experience in sql power bi excel
Candidate_88,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in nlp keras tensorflow
Candidate_89,Backend Developer,Backend Developer with 3 years experience in api sql mongodb
Candidate_90,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in tensorflow keras deep learning
Candidate_91,Data Analyst,Data Analyst with 1 years experience in sql python excel
Candidate_92,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in tensorflow deep learning keras
Candidate_93,HR Manager,HR Manager with 1 years experience in talent acquisition communication hr analytics
Candidate_94,Data Scientist,Data Scientist with 1 years experience in numpy statistics pandas
Candidate_95,Data Analyst,Data Analyst with 1 years experience in sql power bi tableau
Candidate_96,Business Analyst,Business Analyst with 4 years experience in reporting dashboard excel
Candidate_97,Frontend Developer,Frontend Developer with 3 years experience in css html react
Candidate_98,Backend Developer,Backend Developer with 3 years experience in api node js mongodb
Candidate_99,DevOps Engineer,DevOps Engineer with 1 years experience in linux docker ci cd
Candidate_100,Software Engineer,Software Engineer with 5 years experience in spring boot api java
Candidate_101,HR Manager,HR Manager with 3 years experience in communication talent acquisition hr analytics
Candidate_102,Backend Developer,Backend Developer with 2 years experience in express node js mongodb
Candidate_103,Data Scientist,Data Scientist with 1 years experience in numpy pandas statistics
Candidate_104,Software Engineer,Software Engineer with 1 years experience in java docker microservices
Candidate_105,DevOps Engineer,DevOps Engineer with 5 years experience in linux kubernetes aws
Candidate_106,Frontend Developer,Frontend Developer with 2 years experience in ui ux html javascript
Candidate_107,Data Analyst,Data Analyst with 1 years experience in python power bi sql
Candidate_108,AI Engineer,AI Engineer with 4 years experience in python transformers llm
Candidate_109,Data Analyst,Data Analyst with 1 years experience in excel python sql
Candidate_110,Software Engineer,Software Engineer with 3 years experience in microservices api java
Candidate_111,Frontend Developer,Frontend Developer with 2 years experience in javascript css html
Candidate_112,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in deep learning tensorflow python
Candidate_113,Data Analyst,Data Analyst with 1 years experience in power bi sql excel
Candidate_114,Data Scientist,Data Scientist with 4 years experience in pandas statistics python
Candidate_115,Business Analyst,Business Analyst with 3 years experience in excel sql analysis
Candidate_116,Software Engineer,Software Engineer with 3 years experience in api microservices docker
Candidate_117,AI Engineer,AI Engineer with 4 years experience in transformers python nlp
Candidate_118,Software Engineer,Software Engineer with 1 years experience in api java spring boot
Candidate_119,AI Engineer,AI Engineer with 2 years experience in python transformers llm
Candidate_120,DevOps Engineer,DevOps Engineer with 3 years experience in ci cd docker kubernetes
Candidate_121,Data Analyst,Data Analyst with 4 years experience in power bi python sql
Candidate_122,AI Engineer,AI Engineer with 3 years experience in llm transformers nlp
Candidate_123,Software Engineer,Software Engineer with 1 years experience in api microservices spring boot
Candidate_124,DevOps Engineer,DevOps Engineer with 1 years experience in linux aws ci cd
Candidate_125,Data Scientist,Data Scientist with 3 years experience in machine learning python numpy
Candidate_126,Data Scientist,Data Scientist with 2 years experience in pandas machine learning statistics
Candidate_127,HR Manager,HR Manager with 4 years experience in recruitment hr analytics talent acquisition
Candidate_128,HR Manager,HR Manager with 5 years experience in talent acquisition communication recruitment
Candidate_129,DevOps Engineer,DevOps Engineer with 2 years experience in docker aws ci cd
Candidate_130,Data Analyst,Data Analyst with 5 years experience in sql excel power bi
Candidate_131,DevOps Engineer,DevOps Engineer with 4 years experience in aws kubernetes ci cd
Candidate_132,Frontend Developer,Frontend Developer with 1 years experience in ui ux css html
Candidate_133,Backend Developer,Backend Developer with 3 years experience in sql mongodb api
Candidate_134,DevOps Engineer,DevOps Engineer with 4 years experience in linux ci cd aws
Candidate_135,HR Manager,HR Manager with 1 years experience in communication hr analytics talent acquisition
Candidate_136,Business Analyst,Business Analyst with 3 years experience in excel dashboard sql
Candidate_137,Data Scientist,Data Scientist with 5 years experience in statistics numpy pandas
Candidate_138,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in tensorflow keras python
Candidate_139,Data Analyst,Data Analyst with 2 years experience in tableau excel power bi
Candidate_140,Backend Developer,Backend Developer with 2 years experience in express api sql
Candidate_141,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in tensorflow deep learning keras
Candidate_142,AI Engineer,AI Engineer with 2 years experience in nlp llm deep learning
Candidate_143,DevOps Engineer,DevOps Engineer with 2 years experience in docker kubernetes linux
Candidate_144,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in tensorflow nlp keras
Candidate_145,Business Analyst,Business Analyst with 4 years experience in reporting sql analysis
Candidate_146,HR Manager,HR Manager with 1 years experience in recruitment talent acquisition hr analytics
Candidate_147,Software Engineer,Software Engineer with 1 years experience in docker api microservices
Candidate_148,DevOps Engineer,DevOps Engineer with 4 years experience in aws kubernetes linux
Candidate_149,AI Engineer,AI Engineer with 5 years experience in deep learning python transformers
Candidate_150,Software Engineer,Software Engineer with 5 years experience in spring boot api java
Candidate_151,DevOps Engineer,DevOps Engineer with 4 years experience in linux ci cd kubernetes
Candidate_152,Data Analyst,Data Analyst with 1 years experience in tableau python excel
Candidate_153,Software Engineer,Software Engineer with 3 years experience in api docker spring boot
Candidate_154,Backend Developer,Backend Developer with 3 years experience in sql express node js
Candidate_155,Frontend Developer,Frontend Developer with 4 years experience in css javascript ui ux
Candidate_156,Business Analyst,Business Analyst with 4 years experience in dashboard excel reporting
Candidate_157,DevOps Engineer,DevOps Engineer with 4 years experience in docker kubernetes aws
Candidate_158,AI Engineer,AI Engineer with 3 years experience in python transformers deep learning
Candidate_159,Data Analyst,Data Analyst with 1 years experience in power bi excel sql
Candidate_160,Backend Developer,Backend Developer with 1 years experience in sql node js express
Candidate_161,DevOps Engineer,DevOps Engineer with 1 years experience in kubernetes docker aws
Candidate_162,Software Engineer,Software Engineer with 3 years experience in docker microservices java
Candidate_163,Backend Developer,Backend Developer with 1 years experience in express sql mongodb
Candidate_164,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in deep learning nlp python
Candidate_165,Backend Developer,Backend Developer with 3 years experience in mongodb api node js
Candidate_166,Software Engineer,Software Engineer with 3 years experience in docker api microservices
Candidate_167,DevOps Engineer,DevOps Engineer with 5 years experience in kubernetes ci cd docker
Candidate_168,HR Manager,HR Manager with 4 years experience in talent acquisition recruitment hr analytics
Candidate_169,AI Engineer,AI Engineer with 2 years experience in llm deep learning python
Candidate_170,Software Engineer,Software Engineer with 4 years experience in docker spring boot java
Candidate_171,Frontend Developer,Frontend Developer with 1 years experience in ui ux javascript html
Candidate_172,Data Analyst,Data Analyst with 3 years experience in python tableau sql
Candidate_173,AI Engineer,AI Engineer with 5 years experience in llm transformers nlp
Candidate_174,Data Analyst,Data Analyst with 3 years experience in sql tableau python
Candidate_175,Business Analyst,Business Analyst with 1 years experience in dashboard reporting analysis
Candidate_176,AI Engineer,AI Engineer with 4 years experience in deep learning python nlp
Candidate_177,Data Analyst,Data Analyst with 4 years experience in excel python sql
Candidate_178,Backend Developer,Backend Developer with 5 years experience in sql express node js
Candidate_179,HR Manager,HR Manager with 2 years experience in hr analytics recruitment communication
Candidate_180,Business Analyst,Business Analyst with 2 years experience in analysis sql reporting
Candidate_181,Frontend Developer,Frontend Developer with 5 years experience in javascript ui ux react
Candidate_182,DevOps Engineer,DevOps Engineer with 5 years experience in docker linux kubernetes
Candidate_183,Business Analyst,Business Analyst with 1 years experience in sql excel dashboard
Candidate_184,Business Analyst,Business Analyst with 1 years experience in analysis excel reporting
Candidate_185,Data Analyst,Data Analyst with 4 years experience in python sql tableau
Candidate_186,Data Scientist,Data Scientist with 2 years experience in python statistics numpy
Candidate_187,DevOps Engineer,DevOps Engineer with 4 years experience in ci cd docker kubernetes
Candidate_188,AI Engineer,AI Engineer with 2 years experience in llm deep learning python
Candidate_189,HR Manager,HR Manager with 1 years experience in communication talent acquisition recruitment
Candidate_190,HR Manager,HR Manager with 2 years experience in hr analytics recruitment communication
Candidate_191,Data Scientist,Data Scientist with 1 years experience in machine learning numpy pandas
Candidate_192,Business Analyst,Business Analyst with 3 years experience in reporting dashboard excel
Candidate_193,Data Analyst,Data Analyst with 4 years experience in power bi tableau sql
Candidate_194,Business Analyst,Business Analyst with 2 years experience in sql dashboard analysis
Candidate_195,Backend Developer,Backend Developer with 4 years experience in api mongodb sql
Candidate_196,Data Scientist,Data Scientist with 4 years experience in machine learning pandas numpy
Candidate_197,HR Manager,HR Manager with 5 years experience in recruitment communication talent acquisition
Candidate_198,Business Analyst,Business Analyst with 2 years experience in excel dashboard reporting
Candidate_199,Frontend Developer,Frontend Developer with 5 years experience in css html ui ux
Candidate_200,DevOps Engineer,DevOps Engineer with 1 years experience in ci cd linux docker
Candidate_201,Software Engineer,Software Engineer with 5 years experience in java docker spring boot
Candidate_202,Frontend Developer,Frontend Developer with 2 years experience in ui ux html javascript
Candidate_203,Business Analyst,Business Analyst with 1 years experience in analysis sql excel
Candidate_204,Frontend Developer,Frontend Developer with 4 years experience in javascript react css
Candidate_205,Software Engineer,Software Engineer with 2 years experience in api spring boot docker
Candidate_206,Data Scientist,Data Scientist with 3 years experience in pandas python statistics
Candidate_207,AI Engineer,AI Engineer with 4 years experience in transformers llm python
Candidate_208,AI Engineer,AI Engineer with 1 years experience in deep learning nlp llm
Candidate_209,DevOps Engineer,DevOps Engineer with 1 years experience in ci cd kubernetes aws
Candidate_210,Backend Developer,Backend Developer with 4 years experience in mongodb sql express
Candidate_211,Business Analyst,Business Analyst with 2 years experience in analysis sql dashboard
Candidate_212,Business Analyst,Business Analyst with 2 years experience in analysis sql excel
Candidate_213,DevOps Engineer,DevOps Engineer with 1 years experience in aws linux kubernetes
Candidate_214,Backend Developer,Backend Developer with 3 years experience in mongodb node js express
Candidate_215,Business Analyst,Business Analyst with 3 years experience in reporting excel dashboard
Candidate_216,Backend Developer,Backend Developer with 5 years experience in mongodb express node js
Candidate_217,Software Engineer,Software Engineer with 2 years experience in spring boot docker api
Candidate_218,Frontend Developer,Frontend Developer with 4 years experience in javascript css html
Candidate_219,Data Scientist,Data Scientist with 5 years experience in numpy statistics machine learning
Candidate_220,Backend Developer,Backend Developer with 3 years experience in express sql api
Candidate_221,AI Engineer,AI Engineer with 1 years experience in nlp transformers python
Candidate_222,Frontend Developer,Frontend Developer with 3 years experience in html react javascript
Candidate_223,Software Engineer,Software Engineer with 1 years experience in api docker java
Candidate_224,AI Engineer,AI Engineer with 2 years experience in transformers nlp python
Candidate_225,Frontend Developer,Frontend Developer with 4 years experience in html ui ux javascript
Candidate_226,Business Analyst,Business Analyst with 2 years experience in sql excel dashboard
Candidate_227,HR Manager,HR Manager with 5 years experience in recruitment hr analytics talent acquisition
Candidate_228,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in python tensorflow nlp
Candidate_229,Data Analyst,Data Analyst with 3 years experience in sql power bi tableau
Candidate_230,DevOps Engineer,DevOps Engineer with 2 years experience in ci cd aws linux
Candidate_231,HR Manager,HR Manager with 3 years experience in recruitment hr analytics communication
Candidate_232,DevOps Engineer,DevOps Engineer with 4 years experience in kubernetes docker aws
Candidate_233,Data Scientist,Data Scientist with 4 years experience in numpy python machine learning
Candidate_234,HR Manager,HR Manager with 1 years experience in hr analytics recruitment communication
Candidate_235,DevOps Engineer,DevOps Engineer with 4 years experience in kubernetes linux docker
Candidate_236,Data Analyst,Data Analyst with 4 years experience in tableau power bi excel
Candidate_237,AI Engineer,AI Engineer with 2 years experience in deep learning python nlp
Candidate_238,Frontend Developer,Frontend Developer with 2 years experience in ui ux javascript html
Candidate_239,HR Manager,HR Manager with 1 years experience in talent acquisition hr analytics recruitment
Candidate_240,HR Manager,HR Manager with 2 years experience in communication recruitment hr analytics
Candidate_241,HR Manager,HR Manager with 1 years experience in hr analytics communication talent acquisition
Candidate_242,Backend Developer,Backend Developer with 5 years experience in express mongodb node js
Candidate_243,Backend Developer,Backend Developer with 5 years experience in api mongodb sql
Candidate_244,AI Engineer,AI Engineer with 2 years experience in python deep learning llm
Candidate_245,HR Manager,HR Manager with 1 years experience in talent acquisition hr analytics recruitment
Candidate_246,Backend Developer,Backend Developer with 2 years experience in node js api mongodb
Candidate_247,Frontend Developer,Frontend Developer with 3 years experience in html css javascript
Candidate_248,AI Engineer,AI Engineer with 1 years experience in deep learning nlp transformers
Candidate_249,Frontend Developer,Frontend Developer with 1 years experience in react ui ux javascript
Candidate_250,Data Scientist,Data Scientist with 4 years experience in statistics python numpy
Candidate_251,Software Engineer,Software Engineer with 2 years experience in microservices api docker
Candidate_252,Software Engineer,Software Engineer with 1 years experience in microservices api java
Candidate_253,DevOps Engineer,DevOps Engineer with 5 years experience in aws linux kubernetes
Candidate_254,Backend Developer,Backend Developer with 3 years experience in node js express sql
Candidate_255,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in tensorflow deep learning keras
Candidate_256,Software Engineer,Software Engineer with 2 years experience in api docker java
Candidate_257,AI Engineer,AI Engineer with 5 years experience in python nlp transformers
Candidate_258,Frontend Developer,Frontend Developer with 2 years experience in html javascript react
Candidate_259,AI Engineer,AI Engineer with 4 years experience in deep learning transformers llm
Candidate_260,Backend Developer,Backend Developer with 1 years experience in node js sql api
Candidate_261,Data Scientist,Data Scientist with 4 years experience in numpy machine learning statistics
Candidate_262,DevOps Engineer,DevOps Engineer with 5 years experience in ci cd kubernetes linux
Candidate_263,Data Analyst,Data Analyst with 5 years experience in excel tableau power bi
Candidate_264,Backend Developer,Backend Developer with 2 years experience in node js mongodb api
Candidate_265,AI Engineer,AI Engineer with 5 years experience in transformers llm deep learning
Candidate_266,Frontend Developer,Frontend Developer with 5 years experience in javascript ui ux css
Candidate_267,Frontend Developer,Frontend Developer with 1 years experience in css ui ux html
Candidate_268,HR Manager,HR Manager with 5 years experience in communication hr analytics recruitment
Candidate_269,HR Manager,HR Manager with 4 years experience in talent acquisition hr analytics recruitment
Candidate_270,Frontend Developer,Frontend Developer with 3 years experience in ui ux react html
Candidate_271,Software Engineer,Software Engineer with 4 years experience in microservices spring boot api
Candidate_272,Software Engineer,Software Engineer with 4 years experience in api java spring boot
Candidate_273,Backend Developer,Backend Developer with 5 years experience in sql node js express
Candidate_274,DevOps Engineer,DevOps Engineer with 1 years experience in docker linux kubernetes
Candidate_275,Business Analyst,Business Analyst with 5 years experience in analysis reporting excel
Candidate_276,Backend Developer,Backend Developer with 4 years experience in sql api node js
Candidate_277,Data Scientist,Data Scientist with 5 years experience in machine learning python statistics
Candidate_278,DevOps Engineer,DevOps Engineer with 4 years experience in kubernetes linux aws
Candidate_279,AI Engineer,AI Engineer with 3 years experience in llm transformers python
Candidate_280,Frontend Developer,Frontend Developer with 1 years experience in ui ux html javascript
Candidate_281,HR Manager,HR Manager with 2 years experience in talent acquisition communication hr analytics
Candidate_282,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in deep learning keras python
Candidate_283,Data Analyst,Data Analyst with 5 years experience in excel python sql
Candidate_284,HR Manager,HR Manager with 3 years experience in hr analytics talent acquisition communication
Candidate_285,Frontend Developer,Frontend Developer with 2 years experience in html css react
Candidate_286,AI Engineer,AI Engineer with 4 years experience in llm deep learning transformers
Candidate_287,Backend Developer,Backend Developer with 2 years experience in sql express node js
Candidate_288,Backend Developer,Backend Developer with 5 years experience in api mongodb node js
Candidate_289,Backend Developer,Backend Developer with 4 years experience in mongodb api sql
Candidate_290,Data Analyst,Data Analyst with 5 years experience in excel python power bi
Candidate_291,Frontend Developer,Frontend Developer with 2 years experience in css javascript react
Candidate_292,Software Engineer,Software Engineer with 4 years experience in docker microservices java
Candidate_293,Data Analyst,Data Analyst with 5 years experience in power bi python excel
Candidate_294,DevOps Engineer,DevOps Engineer with 3 years experience in docker aws ci cd
Candidate_295,Frontend Developer,Frontend Developer with 2 years experience in react html javascript
Candidate_296,Data Analyst,Data Analyst with 5 years experience in excel tableau python
Candidate_297,Data Analyst,Data Analyst with 5 years experience in excel sql tableau
Candidate_298,Backend Developer,Backend Developer with 3 years experience in node js mongodb sql
Candidate_299,Business Analyst,Business Analyst with 5 years experience in excel dashboard analysis
Candidate_300,HR Manager,HR Manager with 4 years experience in talent acquisition communication recruitment
Candidate_301,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in nlp tensorflow deep learning
Candidate_302,Data Analyst,Data Analyst with 1 years experience in tableau power bi sql
Candidate_303,Data Scientist,Data Scientist with 2 years experience in statistics machine learning numpy
Candidate_304,Backend Developer,Backend Developer with 5 years experience in sql node js api
Candidate_305,Backend Developer,Backend Developer with 1 years experience in api mongodb sql
Candidate_306,Frontend Developer,Frontend Developer with 2 years experience in react html javascript
Candidate_307,HR Manager,HR Manager with 5 years experience in recruitment communication talent acquisition
Candidate_308,Data Analyst,Data Analyst with 4 years experience in power bi python excel
Candidate_309,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in deep learning keras nlp
Candidate_310,Data Analyst,Data Analyst with 2 years experience in tableau power bi sql
Candidate_311,Data Analyst,Data Analyst with 5 years experience in tableau power bi python
Candidate_312,Data Analyst,Data Analyst with 1 years experience in sql python excel
Candidate_313,Data Scientist,Data Scientist with 3 years experience in python machine learning numpy
Candidate_314,Software Engineer,Software Engineer with 2 years experience in spring boot java api
Candidate_315,Backend Developer,Backend Developer with 4 years experience in express sql api
Candidate_316,AI Engineer,AI Engineer with 2 years experience in python transformers deep learning
Candidate_317,Backend Developer,Backend Developer with 4 years experience in api sql node js
Candidate_318,Frontend Developer,Frontend Developer with 3 years experience in html ui ux react
Candidate_319,DevOps Engineer,DevOps Engineer with 4 years experience in aws ci cd linux
Candidate_320,Data Scientist,Data Scientist with 2 years experience in statistics pandas numpy
Candidate_321,Business Analyst,Business Analyst with 1 years experience in excel reporting dashboard
Candidate_322,AI Engineer,AI Engineer with 2 years experience in nlp transformers llm
Candidate_323,Business Analyst,Business Analyst with 2 years experience in dashboard analysis reporting
Candidate_324,DevOps Engineer,DevOps Engineer with 2 years experience in aws docker linux
Candidate_325,Data Scientist,Data Scientist with 5 years experience in numpy python machine learning
Candidate_326,AI Engineer,AI Engineer with 3 years experience in transformers deep learning llm
Candidate_327,Software Engineer,Software Engineer with 2 years experience in spring boot java microservices
Candidate_328,Business Analyst,Business Analyst with 3 years experience in reporting dashboard analysis
Candidate_329,Data Scientist,Data Scientist with 3 years experience in numpy pandas python
Candidate_330,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in tensorflow nlp keras
Candidate_331,Business Analyst,Business Analyst with 1 years experience in analysis reporting dashboard
Candidate_332,HR Manager,HR Manager with 3 years experience in talent acquisition recruitment hr analytics
Candidate_333,Frontend Developer,Frontend Developer with 4 years experience in javascript html react
Candidate_334,Data Analyst,Data Analyst with 5 years experience in python tableau sql
Candidate_335,Frontend Developer,Frontend Developer with 1 years experience in html javascript css
Candidate_336,DevOps Engineer,DevOps Engineer with 2 years experience in linux ci cd docker
